 #        t           theta             dtheta/dt=u       Energía        E_energía
  0.224000000E+01 -0.986355664E+00  0.386517547E+00  0.122417438E+01  0.405505629E-08
  0.225000000E+01 -0.102358898E+01  0.376467046E+00  0.122417438E+01  0.407546796E-08
  0.226000000E+01 -0.105987043E+01  0.366048940E+00  0.122417438E+01  0.408946699E-08
  0.227000000E+01 -0.109516228E+01  0.355272937E+00  0.122417438E+01  0.409685219E-08
  0.228000000E+01 -0.112942742E+01  0.344149117E+00  0.122417438E+01  0.409752277E-08
  0.229000000E+01 -0.116262943E+01  0.332687932E+00  0.122417438E+01  0.409148426E-08
  0.230000000E+01 -0.119473261E+01  0.320900192E+00  0.122417438E+01  0.407884615E-08
  0.231000000E+01 -0.122570213E+01  0.308797059E+00  0.122417438E+01  0.405982892E-08
  0.232000000E+01 -0.125550400E+01  0.296390042E+00  0.122417438E+01  0.403476141E-08
  0.233000000E+01 -0.128410520E+01  0.283690982E+00  0.122417438E+01  0.400407485E-08
  0.234000000E+01 -0.131147371E+01  0.270712047E+00  0.122417438E+01  0.396829947E-08
  0.235000000E+01 -0.133757860E+01  0.257465720E+00  0.122417438E+01  0.392806143E-08
  0.236000000E+01 -0.136239011E+01  0.243964786E+00  0.122417438E+01  0.388406862E-08
  0.237000000E+01 -0.138587968E+01  0.230222324E+00  0.122417438E+01  0.383710841E-08
  0.238000000E+01 -0.140802004E+01  0.216251691E+00  0.122417438E+01  0.378802789E-08
  0.239000000E+01 -0.142878530E+01  0.202066508E+00  0.122417438E+01  0.373772524E-08
  0.240000000E+01 -0.144815097E+01  0.187680650E+00  0.122417438E+01  0.368713771E-08
  0.241000000E+01 -0.146609404E+01  0.173108231E+00  0.122417438E+01  0.363722141E-08
  0.242000000E+01 -0.148259307E+01  0.158363583E+00  0.122417438E+01  0.358894203E-08
  0.243000000E+01 -0.149762819E+01  0.143461250E+00  0.122417438E+01  0.354325258E-08
  0.244000000E+01 -0.151118121E+01  0.128415960E+00  0.122417438E+01  0.350108054E-08
  0.245000000E+01 -0.152323564E+01  0.113242621E+00  0.122417438E+01  0.346331031E-08
  0.246000000E+01 -0.153377675E+01  0.979562924E-01  0.122417438E+01  0.343077233E-08
  0.247000000E+01 -0.154279158E+01  0.825721741E-01  0.122417438E+01  0.340422002E-08
  0.248000000E+01 -0.155026903E+01  0.671055860E-01  0.122417438E+01  0.338432438E-08
  0.249000000E+01 -0.155619986E+01  0.515719495E-01  0.122417438E+01  0.337165762E-08
  0.250000000E+01 -0.156057671E+01  0.359867692E-01  0.122417438E+01  0.336668493E-08
  0.251000000E+01 -0.156339417E+01  0.203656137E-01  0.122417438E+01  0.336975381E-08
  0.252000000E+01 -0.156464871E+01  0.472409610E-02  0.122417438E+01  0.338108919E-08
  0.253000000E+01 -0.156433879E+01 -0.109221451E-01  0.122417438E+01  0.340078721E-08
  0.254000000E+01 -0.156246478E+01 -0.265574655E-01  0.122417438E+01  0.342881679E-08
  0.255000000E+01 -0.155902902E+01 -0.421662343E-01  0.122417438E+01  0.346501761E-08
  0.256000000E+01 -0.155403577E+01 -0.577328537E-01  0.122417438E+01  0.350910212E-08
  0.257000000E+01 -0.154749124E+01 -0.732417784E-01  0.122417438E+01  0.356066265E-08
  0.258000000E+01 -0.153940353E+01 -0.886775342E-01  0.122417438E+01  0.361917740E-08
  0.259000000E+01 -0.152978261E+01 -0.104024738E+00  0.122417438E+01  0.368402109E-08
  0.260000000E+01 -0.151864033E+01 -0.119268115E+00  0.122417438E+01  0.375447229E-08
  0.261000000E+01 -0.150599035E+01 -0.134392518E+00  0.122417438E+01  0.382973142E-08
  0.262000000E+01 -0.149184811E+01 -0.149382947E+00  0.122417438E+01  0.390892985E-08
  0.263000000E+01 -0.147623077E+01 -0.164224563E+00  0.122417438E+01  0.399114808E-08
  0.264000000E+01 -0.145915719E+01 -0.178902708E+00  0.122417438E+01  0.407542911E-08
  0.265000000E+01 -0.144064789E+01 -0.193402921E+00  0.122417438E+01  0.416079660E-08
  0.266000000E+01 -0.142072491E+01 -0.207710953E+00  0.122417438E+01  0.424627178E-08
  0.267000000E+01 -0.139941188E+01 -0.221812785E+00  0.122417438E+01  0.433088498E-08
  0.268000000E+01 -0.137673383E+01 -0.235694640E+00  0.122417438E+01  0.441369563E-08
  0.269000000E+01 -0.135271723E+01 -0.249342999E+00  0.122417438E+01  0.449380710E-08
  0.270000000E+01 -0.132738984E+01 -0.262744615E+00  0.122417438E+01  0.457037541E-08
  0.271000000E+01 -0.130078072E+01 -0.275886524E+00  0.122417438E+01  0.464262961E-08
  0.272000000E+01 -0.127292011E+01 -0.288756058E+00  0.122417438E+01  0.470987449E-08
  0.273000000E+01 -0.124383936E+01 -0.301340858E+00  0.122417438E+01  0.477150541E-08
  0.274000000E+01 -0.121357090E+01 -0.313628885E+00  0.122417438E+01  0.482701523E-08
  0.275000000E+01 -0.118214815E+01 -0.325608428E+00  0.122417438E+01  0.487600094E-08
  0.276000000E+01 -0.114960543E+01 -0.337268115E+00  0.122417438E+01  0.491816277E-08
  0.277000000E+01 -0.111597794E+01 -0.348596921E+00  0.122417438E+01  0.495331265E-08
  0.278000000E+01 -0.108130166E+01 -0.359584178E+00  0.122417438E+01  0.498137109E-08
  0.279000000E+01 -0.104561329E+01 -0.370219580E+00  0.122417438E+01  0.500237030E-08
  0.280000000E+01 -0.100895019E+01 -0.380493194E+00  0.122417438E+01  0.501644259E-08
  0.281000000E+01 -0.971350352E+00 -0.390395461E+00  0.122417438E+01  0.502382580E-08
  0.282000000E+01 -0.932852289E+00 -0.399917207E+00  0.122417438E+01  0.502484920E-08
  0.283000000E+01 -0.893495019E+00 -0.409049643E+00  0.122417438E+01  0.501993380E-08
  0.284000000E+01 -0.853318000E+00 -0.417784374E+00  0.122417438E+01  0.500957653E-08
  0.285000000E+01 -0.812361087E+00 -0.426113403E+00  0.122417438E+01  0.499434694E-08
  0.286000000E+01 -0.770664479E+00 -0.434029130E+00  0.122417438E+01  0.497487296E-08
  0.287000000E+01 -0.728268687E+00 -0.441524362E+00  0.122417438E+01  0.495183428E-08
  0.288000000E+01 -0.685214485E+00 -0.448592309E+00  0.122417438E+01  0.492594654E-08
  0.289000000E+01 -0.641542882E+00 -0.455226593E+00  0.122417438E+01  0.489795471E-08
  0.290000000E+01 -0.597295083E+00 -0.461421246E+00  0.122417438E+01  0.486861862E-08
  0.291000000E+01 -0.552512466E+00 -0.467170712E+00  0.122417438E+01  0.483870322E-08
  0.292000000E+01 -0.507236550E+00 -0.472469851E+00  0.122417438E+01  0.480896611E-08
  0.293000000E+01 -0.461508976E+00 -0.477313938E+00  0.122417438E+01  0.478014983E-08
