 #        t           S        I       R
  0.263000000E+02  0.256443965E+02  0.243679631E+03  0.730675972E+03
  0.264000000E+02  0.253351838E+02  0.241562645E+03  0.733102171E+03
  0.265000000E+02  0.250323397E+02  0.239460386E+03  0.735507274E+03
  0.266000000E+02  0.247357065E+02  0.237372865E+03  0.737891428E+03
  0.267000000E+02  0.244451308E+02  0.235300089E+03  0.740254781E+03
  0.268000000E+02  0.241604634E+02  0.233242058E+03  0.742597479E+03
  0.269000000E+02  0.238815595E+02  0.231198770E+03  0.744919671E+03
  0.270000000E+02  0.236082784E+02  0.229170218E+03  0.747221504E+03
  0.271000000E+02  0.233404831E+02  0.227156392E+03  0.749503124E+03
  0.272000000E+02  0.230780407E+02  0.225157279E+03  0.751764680E+03
  0.273000000E+02  0.228208217E+02  0.223172859E+03  0.754006319E+03
  0.274000000E+02  0.225687006E+02  0.221203113E+03  0.756228187E+03
  0.275000000E+02  0.223215549E+02  0.219248015E+03  0.758430430E+03
  0.276000000E+02  0.220792658E+02  0.217307539E+03  0.760613196E+03
  0.277000000E+02  0.218417178E+02  0.215381653E+03  0.762776629E+03
  0.278000000E+02  0.216087983E+02  0.213470324E+03  0.764920877E+03
  0.279000000E+02  0.213803981E+02  0.211573518E+03  0.767046084E+03
  0.280000000E+02  0.211564108E+02  0.209691193E+03  0.769152396E+03
  0.281000000E+02  0.209367328E+02  0.207823311E+03  0.771239956E+03
  0.282000000E+02  0.207212636E+02  0.205969826E+03  0.773308910E+03
  0.283000000E+02  0.205099051E+02  0.204130694E+03  0.775359401E+03
  0.284000000E+02  0.203025621E+02  0.202305866E+03  0.777391572E+03
  0.285000000E+02  0.200991419E+02  0.200495293E+03  0.779405566E+03
  0.286000000E+02  0.198995541E+02  0.198698921E+03  0.781401525E+03
  0.287000000E+02  0.197037110E+02  0.196916698E+03  0.783379591E+03
  0.288000000E+02  0.195115270E+02  0.195148567E+03  0.785339906E+03
  0.289000000E+02  0.193229190E+02  0.193394472E+03  0.787282609E+03
  0.290000000E+02  0.191378058E+02  0.191654352E+03  0.789207842E+03
  0.291000000E+02  0.189561086E+02  0.189928149E+03  0.791115743E+03
  0.292000000E+02  0.187777507E+02  0.188215798E+03  0.793006451E+03
  0.293000000E+02  0.186026571E+02  0.186517238E+03  0.794880105E+03
  0.294000000E+02  0.184307551E+02  0.184832403E+03  0.796736841E+03
  0.295000000E+02  0.182619737E+02  0.183161228E+03  0.798576798E+03
  0.296000000E+02  0.180962438E+02  0.181503645E+03  0.800400111E+03
  0.297000000E+02  0.179334981E+02  0.179859586E+03  0.802206916E+03
  0.298000000E+02  0.177736711E+02  0.178228981E+03  0.803997348E+03
  0.299000000E+02  0.176166988E+02  0.176611761E+03  0.805771540E+03
  0.300000000E+02  0.174625190E+02  0.175007854E+03  0.807529627E+03
  0.301000000E+02  0.173110710E+02  0.173417187E+03  0.809271742E+03
  0.302000000E+02  0.171622958E+02  0.171839689E+03  0.810998015E+03
  0.303000000E+02  0.170161357E+02  0.170275285E+03  0.812708579E+03
  0.304000000E+02  0.168725346E+02  0.168723901E+03  0.814403564E+03
  0.305000000E+02  0.167314377E+02  0.167185462E+03  0.816083100E+03
  0.306000000E+02  0.165927917E+02  0.165659892E+03  0.817747316E+03
  0.307000000E+02  0.164565446E+02  0.164147115E+03  0.819396341E+03
  0.308000000E+02  0.163226456E+02  0.162647053E+03  0.821030301E+03
  0.309000000E+02  0.161910453E+02  0.161159631E+03  0.822649324E+03
  0.310000000E+02  0.160616954E+02  0.159684769E+03  0.824253536E+03
  0.311000000E+02  0.159345490E+02  0.158222390E+03  0.825843061E+03
  0.312000000E+02  0.158095601E+02  0.156772415E+03  0.827418025E+03
  0.313000000E+02  0.156866840E+02  0.155334766E+03  0.828978550E+03
  0.314000000E+02  0.155658770E+02  0.153909362E+03  0.830524761E+03
  0.315000000E+02  0.154470965E+02  0.152496125E+03  0.832056778E+03
  0.316000000E+02  0.153303010E+02  0.151094975E+03  0.833574724E+03
  0.317000000E+02  0.152154500E+02  0.149705832E+03  0.835078718E+03
  0.318000000E+02  0.151025039E+02  0.148328616E+03  0.836568880E+03
  0.319000000E+02  0.149914240E+02  0.146963247E+03  0.838045329E+03
  0.320000000E+02  0.148821726E+02  0.145609643E+03  0.839508184E+03
  0.321000000E+02  0.147747131E+02  0.144267726E+03  0.840957561E+03
  0.322000000E+02  0.146690094E+02  0.142937413E+03  0.842393577E+03
  0.323000000E+02  0.145650265E+02  0.141618626E+03  0.843816348E+03
  0.324000000E+02  0.144627302E+02  0.140311282E+03  0.845225988E+03
  0.325000000E+02  0.143620871E+02  0.139015301E+03  0.846622611E+03
  0.326000000E+02  0.142630644E+02  0.137730604E+03  0.848006332E+03
  0.327000000E+02  0.141656305E+02  0.136457109E+03  0.849377261E+03
  0.328000000E+02  0.140697541E+02  0.135194735E+03  0.850735511E+03
  0.329000000E+02  0.139754048E+02  0.133943403E+03  0.852081192E+03
  0.330000000E+02  0.138825530E+02  0.132703032E+03  0.853414415E+03
  0.331000000E+02  0.137911696E+02  0.131473541E+03  0.854735289E+03
  0.332000000E+02  0.137012263E+02  0.130254851E+03  0.856043922E+03
  0.333000000E+02  0.136126953E+02  0.129046883E+03  0.857340422E+03
  0.334000000E+02  0.135255498E+02  0.127849555E+03  0.858624895E+03
  0.335000000E+02  0.134397631E+02  0.126662789E+03  0.859897448E+03
  0.336000000E+02  0.133553095E+02  0.125486504E+03  0.861158186E+03
  0.337000000E+02  0.132721636E+02  0.124320623E+03  0.862407213E+03
  0.338000000E+02  0.131903010E+02  0.123165066E+03  0.863644633E+03
